Store ID,SKU,Product Name,Price,Date
STORE-001,SKU-A001,Widget Pro 2L,9.99,2024-01-15
STORE-001,SKU-B002,Gadget Deluxe,49.99,2024-01-15
STORE-002,SKU-A001,Widget Pro 2L,10.49,2024-01-15
STORE-002,SKU-C003,Super Blender X,89.00,2024-01-15
STORE-003,SKU-D004,Coffee Maker 3000,129.99,2024-01-16
STORE-003,SKU-A001,Widget Pro 2L,9.79,2024-01-16
STORE-004,SKU-E005,Toaster Ultra,35.50,2024-01-16
STORE-004,SKU-B002,Gadget Deluxe,47.99,2024-01-16
STORE-005,SKU-F006,Smart Watch Gen2,199.99,2024-01-17
STORE-005,SKU-G007,Wireless Earbuds Plus,79.99,2024-01-17
STORE-006,SKU-H008,Laptop Stand Ergonomic,29.99,2024-01-17
STORE-006,SKU-I009,USB Hub 7-Port,24.99,2024-01-17
STORE-007,SKU-J010,Mechanical Keyboard,149.00,2024-01-18
STORE-007,SKU-A001,Widget Pro 2L,9.99,2024-01-18
STORE-008,SKU-K011,Gaming Mouse,59.99,2024-01-18
STORE-008,SKU-L012,27-inch Monitor,349.99,2024-01-18
STORE-009,SKU-M013,Office Chair Lumbar,299.00,2024-01-19
STORE-009,SKU-N014,Desk Lamp LED,19.99,2024-01-19
STORE-010,SKU-O015,Notebook A4 Pack,4.99,2024-01-19
STORE-010,SKU-P016,Pen Set Premium,7.49,2024-01-19
